eqs,tpb,gpuA,nX,time,Speed
EulerClassic,192,16.0,8391168,78987.1745543,106.23456336232742
EulerClassic,192,16.0,12579840,118355.59307444,106.2885130581694
EulerClassic,192,18.0,72960,378.30183723,192.8618706539397
EulerClassic,192,18.0,102144,509.59452716,200.44171307971942
EulerClassic,192,18.0,131328,642.52948761,204.39217581826057
EulerClassic,192,18.0,204288,960.88799563,212.6033428756282
EulerClassic,192,18.0,262656,1235.58655652,212.57596128252186
EulerClassic,192,18.0,393984,1820.45017589,216.4211936244754
EulerClassic,192,18.0,525312,2416.97489132,217.34276259407375
EulerClassic,192,18.0,787968,3591.99523926,219.36777404034984
EulerClassic,192,18.0,1050624,4791.10982201,219.28614434457583
EulerClassic,192,18.0,1575936,9375.77564066,168.08593340967184
EulerClassic,192,18.0,2101248,13696.53454694,153.41457306581603
EulerClassic,192,18.0,3151872,27435.02274426,114.8849785684774
EulerClassic,192,18.0,4202496,37555.28090216,111.90159943014281
EulerClassic,192,18.0,6289152,55921.54381491,112.46384793695849
EulerClassic,192,18.0,8390400,74683.11002037,112.34668719221116
EulerClassic,192,18.0,12592896,112556.89781361,111.88026895387046
EulerClassic,192,20.0,76800,380.73691455,201.71408934899665
EulerClassic,192,20.0,107520,503.44761935,213.5674017861457
EulerClassic,192,20.0,138240,632.60455565,218.5251414415735
EulerClassic,192,20.0,199680,897.86052704,222.39534313674554
EulerClassic,192,20.0,261120,1160.12018377,225.08012846690409
EulerClassic,192,20.0,399360,1756.87360764,227.31288025691182
EulerClassic,192,20.0,522240,2271.93511616,229.86571944126837
EulerClassic,192,20.0,783360,3394.81761239,230.75171907350375
EulerClassic,192,20.0,1059840,4604.61945967,230.168857444727
EulerClassic,192,20.0,1582080,6990.85599726,226.3070503268958
EulerClassic,192,20.0,2104320,12007.07548315,175.25666453526296
EulerClassic,192,20.0,3148800,25638.72072913,122.81423996410325
EulerClassic,192,20.0,4193280,35621.32601304,117.71824548207313
EulerClassic,192,20.0,6297600,53502.69222259,117.70622632969143
EulerClassic,192,20.0,8386560,70843.89851309,118.38083696721455
EulerClassic,192,20.0,12579840,106882.02181728,117.69837233717236
EulerClassic,256,0.0,71680,671.03416269,106.82019483576465
EulerClassic,256,0.0,102400,933.39581923,109.706940925099
EulerClassic,256,0.0,133120,1199.04726202,111.02147864942089
EulerClassic,256,0.0,194560,1767.40052483,110.08257453058867
EulerClassic,256,0.0,266240,2333.12494105,114.1130486909035
EulerClassic,256,0.0,399360,3500.63943863,114.08201472936966
EulerClassic,256,0.0,522240,4513.01869479,115.71855454596137
EulerClassic,256,0.0,788480,6827.87760821,115.47951577982492
EulerClassic,256,0.0,1054720,10525.40306611,100.20708882836213
EulerClassic,256,0.0,1576960,25353.30403935,62.199388196207245
EulerClassic,256,0.0,2099200,35363.83711208,59.360074342241845
EulerClassic,256,0.0,3143680,53102.05507278,59.200722000144275
EulerClassic,256,0.0,4198400,70943.00127029,59.17990393448768
EulerClassic,256,0.0,6297600,106794.46818611,58.969346511705226
EulerClassic,256,0.0,8386560,141802.6818362,59.14246396050207
EulerClassic,256,0.0,12584960,213360.22398686,58.98456499921493
EulerClassic,256,2.0,67584,587.69802614,114.99783391122077
EulerClassic,256,2.0,101376,845.8629088,119.84920835909338
EulerClassic,256,2.0,135168,1109.49889096,121.82797216051758
EulerClassic,256,2.0,202752,1661.49148074,122.03011712687068
EulerClassic,256,2.0,270336,2158.42693502,125.24676912331759
EulerClassic,256,2.0,394240,3138.04379376,125.63240856738399
EulerClassic,256,2.0,529408,4183.23729255,126.55461858279756
EulerClassic,256,2.0,788480,6190.26782296,127.37413348667887
EulerClassic,256,2.0,1047552,9986.02819443,104.90176670884054
EulerClassic,256,2.0,1576960,22044.79039799,71.53436124953059
EulerClassic,256,2.0,2095104,31936.3173138,65.60255459055966
EulerClassic,256,2.0,3153920,48417.33871806,65.14030063415208
EulerClassic,256,2.0,4201472,64686.7514957,64.95104334122095
EulerClassic,256,2.0,6296576,97303.19747057,64.71088477749605
EulerClassic,256,2.0,8391680,128654.24472634,65.2266080909333
EulerClassic,256,2.0,12581888,193188.62633269,65.12747794133978
EulerClassic,256,4.0,73728,589.06455473,125.1611549328299
EulerClassic,256,4.0,98304,764.06036724,128.6599910359198
EulerClassic,256,4.0,135168,1009.27764719,133.9254865857087
EulerClassic,256,4.0,196608,1455.89876175,135.0423567663976
EulerClassic,256,4.0,270336,1971.38946707,137.12967656350014
EulerClassic,256,4.0,393216,2903.62566168,135.4224152201804
EulerClassic,256,4.0,528384,3811.25853278,138.6376692778664
EulerClassic,256,4.0,786432,5697.37252322,138.0341546554744
EulerClassic,256,4.0,1056768,7957.99199018,132.7932977695919
EulerClassic,256,4.0,1572864,19030.21439639,82.65088176297003
EulerClassic,256,4.0,2101248,29130.43672388,72.13238922290095
EulerClassic,256,4.0,3145728,44235.69219762,71.11289195943108
EulerClassic,256,4.0,4202496,59469.23745762,70.66672080661628
EulerClassic,256,4.0,6291456,88500.1779903,71.08975533009178
EulerClassic,256,4.0,8392704,118522.36873452,70.81113961533237
EulerClassic,256,4.0,12582912,176732.2781736,71.19758840906299
EulerClassic,256,6.0,66560,506.93022121,131.30012221628226
EulerClassic,256,6.0,106496,772.54728837,137.85046119920534
EulerClassic,256,6.0,133120,919.89257119,144.7125503229057
EulerClassic,256,6.0,199680,1396.30456404,143.00604978490907
EulerClassic,256,6.0,266240,1793.07543148,148.48231999935786
EulerClassic,256,6.0,399360,2682.82599883,148.85795805399374
EulerClassic,256,6.0,532480,3666.79234938,145.21684056912426
EulerClassic,256,6.0,785408,5243.72421611,149.7805696163492
EulerClassic,256,6.0,1051648,7023.47308939,149.7333280295002
EulerClassic,256,6.0,1570816,15984.43091999,98.2716249244476
EulerClassic,256,6.0,2103296,27115.42961814,77.56823438242381
EulerClassic,256,6.0,3154944,41188.72620842,76.59727042869928
EulerClassic,256,6.0,4193280,54548.4639948,76.87255869202362
EulerClassic,256,6.0,6296576,81460.63293109,77.29593760125167
EulerClassic,256,6.0,8386560,108749.44691223,77.11818531609326
EulerClassic,256,6.0,12579840,163699.02892544,76.84737095007289
EulerClassic,256,8.0,71680,510.98671826,140.27761865138697
EulerClassic,256,8.0,100352,684.23180147,146.66374726284906
EulerClassic,256,8.0,129024,833.04019408,154.883282843864
EulerClassic,256,8.0,200704,1281.87708421,156.57039389520767
EulerClassic,256,8.0,272384,1705.70087433,159.69036781258177
EulerClassic,256,8.0,401408,2517.65780015,159.43707678465452
EulerClassic,256,8.0,530432,3283.0192826,161.56834740852398
EulerClassic,256,8.0,788480,4892.7376487,161.15313278845005
EulerClassic,256,8.0,1046528,6477.30294141,161.56848142912216
EulerClassic,256,8.0,1576960,13333.566709,118.2699299007197
EulerClassic,256,8.0,2107392,24059.58453091,87.59053994854219
EulerClassic,256,8.0,3153920,38160.29670021,82.64925256680837
EulerClassic,256,8.0,4200448,50785.69511933,82.70927453351386
EulerClassic,256,8.0,6293504,77035.4083668,81.69625024941539
EulerClassic,256,8.0,8386560,101195.08600234,82.87517043867201
EulerClassic,256,8.0,12587008,151886.01962001,82.87140601544702
EulerClassic,256,10.0,76800,513.1909197,149.6519074127336
EulerClassic,256,10.0,107520,685.92821468,156.751096833304
EulerClassic,256,10.0,138240,832.81343633,165.99155821643444
EulerClassic,256,10.0,199680,1198.55325872,166.60085694752445
EulerClassic,256,10.0,261120,1535.68870371,170.03446034940035
EulerClassic,256,10.0,399360,2333.50675756,171.14156567413818
EulerClassic,256,10.0,522240,3059.05654214,170.71930276733644
EulerClassic,256,10.0,783360,4517.03799855,173.42338059840625
EulerClassic,256,10.0,1059840,6142.30364019,172.5476404431247
EulerClassic,256,10.0,1582080,12944.97255845,122.21578631059181
EulerClassic,256,10.0,2104320,21525.9492614,97.75736133381277
EulerClassic,256,10.0,3148800,35632.78107209,88.36806741605562
EulerClassic,256,10.0,4193280,47399.911447,88.46598805756626
EulerClassic,256,10.0,6297600,71102.17397862,88.57113148036304
EulerClassic,256,10.0,8386560,94646.4876695,88.60931035587265
EulerClassic,256,10.0,12579840,142164.58090867,88.48786328910994
EulerClassic,256,12.0,65536,458.33925767,142.98578815429622
EulerClassic,256,12.0,98304,602.15382142,163.253966848835
EulerClassic,256,12.0,131072,746.30997398,175.62675640123837
EulerClassic,256,12.0,196608,1105.19218445,177.89485192373323
EulerClassic,256,12.0,262144,1446.07834382,181.27925165348458
EulerClassic,256,12.0,393216,2175.21273006,180.7712848338993
EulerClassic,256,12.0,524288,2861.40108108,183.22772136582617
EulerClassic,256,12.0,786432,4270.73144913,184.1445685282332
EulerClassic,256,12.0,1048576,5651.13362399,185.55144326239622
EulerClassic,256,12.0,1572864,10010.29508764,157.12463880730755
EulerClassic,256,12.0,2097152,19106.7312414,109.75985235276362
EulerClassic,256,12.0,3145728,33088.90780535,95.06895841063032
EulerClassic,256,12.0,4194304,44236.92508177,94.81454672193003
EulerClassic,256,12.0,6291456,66582.81508358,94.49068790651864
